facility_name,facility_category,facility_use_code,road_address,jibun_address,longitude,latitude,data_reference_date
토피아빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 429,서울특별시 강서구 가양동 14-51,126.85507,37.561512,2022-12-07 00:00:00.0
염창공원,공원·오픈스페이스,FU_BI,,서울특별시 강서구 염창동 산 24-1,126.86879,37.557766,2022-12-07 00:00:00.0
아름공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 허준로 64,서울특별시 강서구 가양동 1465,126.848694,37.568684,2022-12-07 00:00:00.0
엄지공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 허준로 139,서울특별시 강서구 가양동 1474-1,126.85474,37.565807,2022-12-07 00:00:00.0
무지개어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로57길 37-1,서울특별시 강서구 가양동 1478-1,126.85184,37.564945,2022-12-07 00:00:00.0
풀피리어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로57길 36-1,서울특별시 강서구 가양동 1481-1,126.85451,37.56365,2022-12-07 00:00:00.0
곰돌이어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 허준로 176,서울특별시 강서구 가양동 1482-1,126.857475,37.56244,2022-12-07 00:00:00.0
햇빛공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 마곡중앙로 36,서울특별시 강서구 마곡동 751-1,126.826935,37.555885,2022-12-07 00:00:00.0
원당어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로52길 72,서울특별시 강서구 내발산동 650,126.84214,37.557274,2022-12-07 00:00:00.0
가곡어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로 348,서울특별시 강서구 내발산동 657-2,126.83776,37.555973,2022-12-07 00:00:00.0
꿈빛공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로 348,서울특별시 강서구 내발산동 657-3,126.84003,37.55615,2022-12-07 00:00:00.0
발음어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로47다길 10-15,서울특별시 강서구 내발산동 697,126.83318,37.552208,2022-12-07 00:00:00.0
수정어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로47길 142,서울특별시 강서구 내발산동 741-2,126.82873,37.55392,2022-12-07 00:00:00.0
은행나무공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 수명로1길 16,서울특별시 강서구 내발산동 753-1,126.82329,37.55216,2022-12-07 00:00:00.0
신광명어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 남부순환로19길 105,서울특별시 강서구 내발산동 761,126.82292,37.547302,2022-12-07 00:00:00.0
능안어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 등촌로39다길 6-6,서울특별시 강서구 등촌동 517-1,126.860054,37.54649,2022-12-07 00:00:00.0
도림어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 공항대로55길 50,서울특별시 강서구 등촌동 635-1,126.862885,37.555603,2022-12-07 00:00:00.0
등서공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로68길 8,서울특별시 강서구 등촌동 639-2,126.85462,37.559162,2022-12-07 00:00:00.0
백석어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 공항대로57길 31,서울특별시 강서구 등촌동 646-41,126.863495,37.552624,2022-12-07 00:00:00.0
채송화어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 공항대로39길 100,서울특별시 강서구 등촌동 694-1,126.846054,37.562763,2022-12-07 00:00:00.0
코끼리공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로63가길 71,서울특별시 강서구 등촌동 702-1,126.84856,37.563232,2022-12-07 00:00:00.0
새나라어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 공항대로43길 104,서울특별시 강서구 등촌동 707-2,126.852036,37.561565,2022-12-07 00:00:00.0
예솔공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 마곡서1로 68,서울특별시 강서구 마곡동 743-6,126.82262,37.56335,2022-12-07 00:00:00.0
도레미어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로42길 36,서울특별시 강서구 방화동 184-66,126.81913,37.571823,2022-12-07 00:00:00.0
긴등어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로 303,서울특별시 강서구 방화동 247-201,126.81622,37.56804,2022-12-07 00:00:00.0
쌈지어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로24가길 59,서울특별시 강서구 방화동 266-24,126.814995,37.571182,2022-12-07 00:00:00.0
신대부석공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 개화동로5길 3-66,서울특별시 강서구 개화동 411,126.79888,37.582893,2022-12-07 00:00:00.0
새싹공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로17길 27,서울특별시 강서구 방화동 448-5,126.8128,37.574833,2022-12-07 00:00:00.0
내촌공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 개화동로13길 12-8,서울특별시 강서구 개화동 551-26,126.80141,37.57757,2022-12-07 00:00:00.0
샛별어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로 50,서울특별시 강서구 방화동 558,126.809494,37.572712,2022-12-07 00:00:00.0
느티공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 금낭화로 232,서울특별시 강서구 방화동 799,126.81031,37.579388,2022-12-07 00:00:00.0
능말공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 금낭화로23길 25,서울특별시 강서구 방화동 815,126.81061,37.577972,2022-12-07 00:00:00.0
개화어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 금낭화로 167,서울특별시 강서구 방화동 818,126.812546,37.58028,2022-12-07 00:00:00.0
메아리어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로47가길 62-8,서울특별시 강서구 방화동 826,126.81438,37.57861,2022-12-07 00:00:00.0
