candidate_store_id,store_name,store_road_address,recommended_public_facility_program,facility_name,facility_category,facility_road_address,facility_longitude,facility_latitude,distance_m,is_target_category_for_program,source
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,에스앤유서울병원,의료,서울특별시 강서구 공항대로 237,126.833885,37.559517,235.2,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,바른메디내과의원,의료,서울특별시 강서구 공항대로 236,126.83378,37.55851,251.3,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,마곡휴연합의원,의료,서울특별시 강서구 마곡동로 61,126.83316,37.56062,337.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,무척바른한방병원,의료,서울특별시 강서구 공항대로 228,126.83271,37.558575,341.3,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,NC백화점 강서점,기타시설,서울특별시 강서구 강서로56길 17,126.84035,37.559963,350.0,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,강서힘찬병원,의료,서울특별시 강서구 강서로56길 38,126.84065,37.5592,364.7,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,가곡어린이공원,공원·오픈스페이스,서울특별시 강서구 강서로 348,126.83776,37.555973,370.4,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,백선호치과의원,의료,서울특별시 강서구 마곡중앙6로 45,126.832726,37.560616,371.3,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0176,지에스25발산파크점,서울특별시 강서구 공항대로 261,청년·직장인 생활지원형 공공시설,새벗공원,공원·오픈스페이스,서울특별시 강서구 강서로56나길 37,126.8403,37.560703,375.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0241,지에스25마곡,서울특별시 강서구 공항대로 269-15,청년·직장인 생활지원형 공공시설,힐스테이트에코마곡,기타시설,서울특별시 강서구 공항대로 269-15,126.837265,37.559624,1.9,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
