admin_dong,resident_population_2026,resident_population_2030_projection,resident_population_annual_change,households_2026,households_2030_projection,households_annual_change,pop_20_39_2026,pop_20_39_2030_projection,pop_20_39_annual_change,pop_60_plus_2026,pop_60_plus_2030_projection,pop_60_plus_annual_change,share_20_39_pct_2026,share_20_39_pct_2030_projection,share_20_39_pct_annual_change,share_60_plus_pct_2026,share_60_plus_pct_2030_projection,share_60_plus_pct_annual_change,avg_household_size_2026,avg_household_size_2030_projection,avg_household_size_annual_change
방화3동,21298.0,19254.071428571362,-420.6071428571301,11112.0,10976.750000000022,-31.666666666664295,4970.0,3759.2857142857974,-249.67857142856323,8064.0,8807.321428571304,160.97619047618525,23.33552446239084,20.310101034900526,-0.6343552654616023,37.86271011362569,44.06929194115446,1.33545707308095,1.9166666666666667,1.7586851930636271,-0.031884628631917045
서울특별시강서구(1150000000),548716.0,520704.9285714291,-6124.64285714264,274405.0,282355.035714285,1471.238095238066,166728.0,151254.42857143003,-3540.2261904760476,153612.0,170418.7857142836,3772.7380952379485,30.385117255556608,29.219309040518397,-0.285819914961239,27.99480970119333,32.13679337201893,0.9335033200556763,1.999657440644303,1.8326031729123429,-0.034266852784670246
염창동,41008.0,40121.607142857276,-186.11904761904148,16879.0,17703.17857142852,170.27380952380344,12412.0,11979.60714285716,-92.20238095237804,8100.0,9190.5,244.9166666666574,30.267264923917285,29.881619229762947,-0.0848164264784426,19.752243464689816,22.730647273879185,0.6669745843372946,2.429527815628888,2.2446212387788904,-0.038024364940404655
우장산동,43635.0,43130.857142857145,-55.61904761904913,17444.0,18247.392857142666,216.3690476190397,10691.0,10043.17857142858,-68.72619047618993,10110.0,11509.035714285565,310.15476190474925,24.50097398877048,23.30901064751825,-0.12402738158621408,23.16947404606394,26.589444909233862,0.7326924860092553,2.501433157532676,2.3425671883510404,-0.037259348553166996
화곡1동,49538.0,46784.785714285914,-576.7619047618823,28226.0,29397.714285714203,224.42857142856766,17882.0,16355.857142857392,-378.11904761902895,13996.0,15311.142857142608,324.5357142857009,36.097541281440506,35.12611679593397,-0.320571570542156,28.25305825830676,32.13648654522922,0.9181885128508211,1.7550485368100333,1.5732195556896755,-0.03638172610153458
화곡2동,16683.0,14880.142857142957,-352.88095238094155,8247.0,8197.642857142855,-0.6309523809523503,4711.0,3905.000000000058,-166.41666666666134,4842.0,5256.142857142753,106.20238095237664,28.238326440088716,26.698493236136528,-0.3554579007174603,29.02355691422406,33.85493530114081,1.1055645408317591,2.0229174245180066,1.8157924661586122,-0.042791668048897266
화곡3동,20456.0,19169.928571428638,-279.80952380951504,9645.0,9848.964285714268,31.34523809523706,5523.0,4817.071428571537,-171.7738095238031,6614.0,7116.714285714203,123.42857142856627,26.999413375048885,25.442292031565557,-0.431179837153233,32.33281188893235,36.37631434944137,0.9600099096596919,2.120891653706584,1.9382811337511185,-0.03664606199286526
화곡4동,19009.0,17037.285714285797,-402.6785714285567,9654.0,9542.214285714304,-16.904761904760207,4864.0,3572.214285714552,-275.4047619047508,6390.0,7043.107142857043,155.63095238094638,25.58787942553527,21.983466204278557,-0.8051358112007609,33.61565574201693,39.60819500781963,1.3556691412642432,1.9690283820178165,1.788477473146628,-0.03808317272685626
화곡6동,25362.0,26071.214285714203,107.26190476190314,13481.0,14890.821428571246,259.0595238095169,8808.0,9642.249999999942,107.41666666666592,6847.0,7602.571428571362,171.1428571428508,34.72912230896617,37.05539842639905,0.27913421464349486,26.997082249033987,29.30139923745014,0.573650278176182,1.8813144425487724,1.7152084500429083,-0.03202847744174596
화곡8동,22326.0,19791.250000000466,-537.666666666645,11515.0,11318.50000000003,-46.666666666662316,6636.0,5347.535714285797,-283.59523809522625,7024.0,7595.607142857101,136.0476190476145,29.72319269013706,27.693789321335316,-0.48307839147047543,31.4610767714772,36.6377547876009,1.1860789126499125,1.938862353452019,1.7557325340317078,-0.03804724962964083
